Serial Number,Name of Source,Protein (g) per 100g,Calories per 100g
1,Tuna (canned),29.0,132
2,Turkey Breast,29.0,135
3,Chicken Breast,27.0,165
4,Tilapia,26.0,129
5,Lean Beef,26.1,250
6,Lamb,25.6,294
7,Salmon,25.4,206
8,Sardines (canned),25.0,208
9,Mussels,24.0,172
10,Pork Loin,24.0,242
11,Cod,23.0,82
12,Shrimp,20.3,85
13,Lobster,19.0,77
14,Crab,18.1,87
15,Eggs,13.0,155
